OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
803919,336633681050101,33663368,150101,1410,COTABAMBAS,Psj Buenaventura con Manuel Caudros,"November 1, 2025",150101,CPNP COTABAMBAS,Otros,,AV. ABANCAY & JR. MONTEVIDEO (REF: CENTRO COMERCIAL UNICACHI)HI),"November 1, 2025",madrugada,2025,11,1,150101,-12.057251599999972,-77.03044899999998,15,LIMA METROPOLITANA,1501,LIMA,150101,LIMA,1,219861,1990,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1G,DIVPOL CENTRO 1,"November 30, 2025",SIDPOL-DGIS,1,d9fd080f-4d8b-4cb8-90e4-827c1d7fc3d1,336633681050101,-77.03044899999998,-12.057251599999972
804727,336657781050122,33665778,150501,1513,SAN VICENTE DE CAÑETE,CALLE SANTA RITA CON MIGUEL GRAU,"November 1, 2025",150133,CPNP SAN JUAN DE MIRAFLORES,Otros,,"ESTACIÓN ATOCONGO, LIMA 15803, PERÚ","November 1, 2025",mañana,2025,11,1,150133,-12.15091499999994,-76.97946309999998,15,LIMA METROPOLITANA,1501,LIMA,150133,SAN JUAN DE MIRAFLORES,1,220133,2250,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"November 30, 2025",SIDPOL-DGIS,1,e86a7aee-0fa2-4ad1-8257-3d162c6d3ad5,336657781050122,-76.97946309999998,-12.15091499999994
804779,336659381050107,33665938,150122,1455,MIRAFLORES,AV. GENERAL VIDAL N° 230,"November 1, 2025",150122,CPNP MIRAFLORES,Otros,,"CA. GRAL. VIDAL 199, MIRAFLORES 15074, PERÚ","November 1, 2025",madrugada,2025,11,1,150122,-12.114415599999973,-77.02871519999997,15,LIMA METROPOLITANA,1501,LIMA,150122,MIRAFLORES,1,220090,2215,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"November 30, 2025",SIDPOL-DGIS,1,c7a06dc2-03e0-4e42-9406-e276ed42b9bb,336659381050107,-77.02871519999997,-12.114415599999973
804795,336660101050101,33666010,150135,1399,SAN MARTÍN DE P.,calle manuel villar cuadra 4 S/N,"November 1, 2025",150112,CPNP INDEPENDENCIA,Otros,,"MEGA PLAZA, AU. PANAMERICANA N 3698, SAN MARTÍN DE PORRES 15311, PERÚ","November 1, 2025",mañana,2025,11,1,150135,-11.994430499999964,-77.06110099999995,15,LIMA METROPOLITANA,1501,LIMA,150112,INDEPENDENCIA,1,219719,1855,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1E,DIVPOL NORTE 2,"November 30, 2025",SIDPOL-DGIS,1,662d1617-26b1-46b2-8d38-ee78caa82c00,336660101050101,-77.06110099999995,-11.994430499999964
804796,336660221050101,33666022,150137,1436,SANTA ANITA,CALLE CIRO ALEGRIA 555 - COOP. UNIVERSAL-SANTA ANITA,"November 1, 2025",150137,CPNP SANTA ANITA,Otros,,"C. JORGE BASADRE 115, SANTA ANITA 15008, PERÚ","November 1, 2025",madrugada,2025,11,1,150137,-12.042562299999929,-76.97380499999997,15,LIMA METROPOLITANA,1501,LIMA,150137,SANTA ANITA,1,220008,2120,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1M,DIVPOL ESTE 2,"November 30, 2025",SIDPOL-DGIS,1,f92e61af-96a0-4fa9-8a28-0b0abf7654a0,336660221050101,-76.97380499999997,-12.042562299999929
804832,336661341050101,33666134,150135,1399,SAN MARTÍN DE P.,calle manuel villar cuadra 4 S/N,"November 1, 2025",150135,CPNP SAN MARTIN DE PORRES,Otros,,"PACLLON, SAN MARTÍN DE PORRES 15101, PERÚ","November 1, 2025",mañana,2025,11,1,150135,-12.033948799999962,-77.05593799999997,15,LIMA METROPOLITANA,1501,LIMA,150135,SAN MARTIN DE PORRES,1,219785,1920,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1F,DIVPOL NORTE 3,"November 30, 2025",SIDPOL-DGIS,1,19571039-6fae-4c69-b958-0edbac2ed088,336661341050101,-77.05593799999997,-12.033948799999962
804997,336665501050101,33666550,150135,1399,SAN MARTÍN DE P.,calle manuel villar cuadra 4 S/N,"November 1, 2025",150117,CPNP SOL DE ORO,Otros,,"AV. TOMÁS VALLE, SAN MARTÍN DE PORRES, PERÚ","November 1, 2025",mañana,2025,11,1,150135,-12.011261599999955,-77.07167489999995,15,LIMA METROPOLITANA,1501,LIMA,150117,LOS OLIVOS,1,219669,1810,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1D,DIVPOL NORTE 1,"November 30, 2025",SIDPOL-DGIS,1,fa9c9993-c11c-4006-91c1-f9ce7d1bc5c0,336665501050101,-77.07167489999995,-12.011261599999955
805028,336664921050107,33666492,150101,1411,ALFONSO UGARTE,AV. ALFONSO UGARTE Nº 1325,"November 1, 2025",150101,CPNP ALFONSO UGARTE,Otros,,"JIRÓN DE LA UNIÓN & JR.OCOÑA, LIMA 15001, PERÚ","November 1, 2025",madrugada,2025,11,1,150101,-12.050919999999962,-77.03474929999999,15,LIMA METROPOLITANA,1501,LIMA,150101,LIMA,1,219864,1995,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1G,DIVPOL CENTRO 1,"November 30, 2025",SIDPOL-DGIS,1,7408a2bf-fd44-4e98-b048-8e361ff52e99,336664921050107,-77.03474929999999,-12.050919999999962
805096,336667541050101,33666754,150135,1399,SAN MARTÍN DE P.,calle manuel villar cuadra 4 S/N,"November 1, 2025",150128,CPNP CIUDAD Y CAMPO,Otros,,"XXF3+FGH, AV. TÚPAC AMARU, RÍMAC 15094, PERÚ","November 1, 2025",madrugada,2025,11,1,150135,-12.02630309999995,-77.04612939999998,15,LIMA METROPOLITANA,1501,LIMA,150128,RIMAC,1,219773,1910,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1F,DIVPOL NORTE 3,"November 30, 2025",SIDPOL-DGIS,1,a92807c1-3222-4bf2-823d-b9be3473b7eb,336667541050101,-77.04612939999998,-12.02630309999995
805103,336667591050104,33666759,150110,1391,LA PASCANA,Jr.Pedro Paulet/ Jr.Jose Carlos Mariategui-LA PASCANA,"November 1, 2025",150110,CPNP LA PASCANA,Otros,,"AV. LOS INCAS & AV. SINCHI ROCA, COMAS 15313, PERÚ","November 1, 2025",madrugada,2025,11,1,150110,-11.916529199999957,-77.04531249999997,15,LIMA METROPOLITANA,1501,LIMA,150110,COMAS,1,219734,1880,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050104,HURTO AGRAVADO DURANTE LA NOCHE,13,LIMA,13R2,LIMA,13R1E,DIVPOL NORTE 2,"November 30, 2025",SIDPOL-DGIS,1,9b44625e-008f-470e-b9e5-727c471a9c96,336667591050104,-77.04531249999997,-11.916529199999957
