OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
931810,340496261050101,34049626,150101,1409,SAN ANDRÉS,JR HUALLAGA C-8,"December 21, 2025",150101,CPNP COTABAMBAS,Otros,,"JR. PUNO & JR. ANDAHUAYLAS, LIMA 15001, PERÚ","December 21, 2025",madrugada,2025,12,21,150101,-12.054695,-77.0268439,15,LIMA METROPOLITANA,1501,LIMA,150101,LIMA,1,219861,1990,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1G,DIVPOL CENTRO 1,"February 4, 2026",SIDPOL-DGIS,1,6461f134-a3e1-4b01-af07-67b9f0fff562,340496261050101,-77.02684389999996,-12.054694999999981
931887,340498271050101,34049827,150103,1440,SALAMANCA,CALLE AYMARAS 265 - ATE,"December 21, 2025",150115,CPNP LA VICTORIA,Otros,,"AV. CANADÁ & AV. STA. CATALINA, LA VICTORIA 15034, PERÚ","December 21, 2025",madrugada,2025,12,21,150103,-12.0820789,-77.017158,15,LIMA METROPOLITANA,1501,LIMA,150115,LA VICTORIA,1,219905,2030,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"February 4, 2026",SIDPOL-DGIS,1,a2e9cb4b-4005-49ff-9705-9cae47b8c114,340498271050101,-77.01715799999994,-12.082078899999942
931902,340498531050101,34049853,150103,1440,SALAMANCA,CALLE AYMARAS 265 - ATE,"December 21, 2025",150103,CPNP SALAMANCA,Otros,,"JAVIER PRADO - EVITAMIENTO, VENECIA, LIMA 15022, PERÚ","December 21, 2025",madrugada,2025,12,21,150103,-12.0820706,-76.9797289999999,15,LIMA METROPOLITANA,1501,LIMA,150103,ATE,1,220020,2140,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1M,DIVPOL ESTE 2,"February 4, 2026",SIDPOL-DGIS,1,a355eb25-3ebb-4c4a-ae96-ff8f3e614994,340498531050101,-76.97972899999996,-12.082070599999952
931917,340499261050101,34049926,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 21, 2025",150104,CPNP BARRANCO,Otros,,"PLAYA LOS YUYOS, BARRANCO, PERÚ","December 21, 2025",madrugada,2025,12,21,150104,-12.1539992,-77.0253208,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,94607356-24ed-476f-9a1b-c332fede68a9,340499261050101,-77.02532079999997,-12.15399919999993
932306,340508211050101,34050821,150141,1450,SURQUILLO,JR. ALFREDO GALEON CUADRA 3RA,"December 21, 2025",150141,CPNP SURQUILLO,Otros,,"GASOLINERA PRIMAX, AV. TOMÁS MARSANO 1008, SURQUILLO 15048, PERÚ","December 21, 2025",madrugada,2025,12,21,150141,-12.1129947,-77.0121459,15,LIMA METROPOLITANA,1501,LIMA,150141,SURQUILLO,1,220072,2190,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"February 4, 2026",SIDPOL-DGIS,1,998852a9-017e-4606-9ad5-934c41f994ea,340508211050101,-77.01214589999995,-12.112994699999945
932313,340508271050103,34050827,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 21, 2025",150104,CPNP BARRANCO,Otros,,"JR.BATALLA DE JUNIN 230, BARRANCO 15063, PERÚ","December 21, 2025",madrugada,2025,12,21,150104,-12.1475628,-77.0231577999999,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,bb66644b-1c51-4aaa-99b6-89edf0f5cbdd,340508271050103,-77.02315779999998,-12.147562799999946
932330,340508541050103,34050854,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 21, 2025",150104,CPNP BARRANCO,Otros,,"JR. TUMBES 218, LIMA 15063, PERÚ","December 21, 2025",madrugada,2025,12,21,150104,-12.1401064,-77.0211152999999,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,159a1829-c1c4-450d-b28e-cf4e913b54f3,340508541050103,-77.02111529999996,-12.14010639999998
932759,340517941050101,34051794,150134,1434,SAN LUIS,CALLE  JOSE  ORENGO  N° 903,"December 21, 2025",150134,CPNP SAN LUIS,Otros,,"JOSÉ ORENGO 903, SAN LUIS 15021, PERÚ","December 21, 2025",mañana,2025,12,21,150134,-12.07306,-76.9993056,15,LIMA METROPOLITANA,1501,LIMA,150134,SAN LUIS,1,219929,2114,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"February 4, 2026",SIDPOL-DGIS,1,6e104f44-f73a-43c6-9fc2-9bcbff0754ca,340517941050101,-76.99930559999996,-12.073059999999941
932955,340522561050101,34052256,150101,1411,ALFONSO UGARTE,AV. ALFONSO UGARTE Nº 1325,"December 21, 2025",150101,CPNP MONSERRATE,Otros,,"ZAMORA & PLAZA DOS DE MAYO, LIMA 15082, PERÚ","December 21, 2025",madrugada,2025,12,21,150101,-12.0460782,-77.0431191,15,LIMA METROPOLITANA,1501,LIMA,150101,LIMA,1,219855,1997,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1G,DIVPOL CENTRO 1,"February 4, 2026",SIDPOL-DGIS,1,b6be2a39-769a-47db-85f5-95165dd6d4a3,340522561050101,-77.04311909999996,-12.046078199999954
932987,340523501050101,34052350,150144,1404,PUEBLO LIBRE,"Pasaje Vivanco, Av. Gral. Manuel I. Vivanco","December 21, 2025",150116,CPNP LINCE,Otros,,"AV. AREQUIPA & JR. RISSO, LINCE 15046, PERÚ","December 21, 2025",mañana,2025,12,21,150121,-12.0857175,-77.0343685,15,LIMA METROPOLITANA,1501,LIMA,150116,LINCE,1,220063,2211,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"February 4, 2026",SIDPOL-DGIS,1,02a09c4a-4415-4782-970d-676c577fdb49,340523501050101,-77.03436849999997,-12.08571749999993
933025,340524381050101,34052438,150144,1404,PUEBLO LIBRE,"Pasaje Vivanco, Av. Gral. Manuel I. Vivanco","December 21, 2025",150121,CPNP PUEBLO LIBRE,Otros,,"AV ANTONIO JOSÉ DE SUCRE 226, PUEBLO LIBRE 15084, PERÚ","December 21, 2025",mañana,2025,12,21,150121,-12.0741447,-77.0629005999999,15,LIMA METROPOLITANA,1501,LIMA,150121,PUEBLO LIBRE,1,219828,1960,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1H,DIVPOL OESTE,"February 4, 2026",SIDPOL-DGIS,1,e40899de-83ce-47b1-b1bf-a8a033233c88,340524381050101,-77.06290059999998,-12.074144699999977
933074,340525311050101,34052531,150144,1404,PUEBLO LIBRE,"Pasaje Vivanco, Av. Gral. Manuel I. Vivanco","December 21, 2025",150121,CPNP PUEBLO LIBRE,Otros,,"STA. MARTA 108, PUEBLO LIBRE 15084, PERÚ","December 21, 2025",mañana,2025,12,21,150121,-12.0812999,-77.067262,15,LIMA METROPOLITANA,1501,LIMA,150121,PUEBLO LIBRE,1,219828,1960,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1H,DIVPOL OESTE,"February 4, 2026",SIDPOL-DGIS,1,6ae21050-a2ec-4a72-87ff-49bd9242d7e2,340525311050101,-77.06726199999997,-12.081299899999976
933087,340525561050101,34052556,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 21, 2025",150104,CPNP BARRANCO,Otros,,"SANCHEZ CARRION 116, BARRANCO 15063, PERÚ","December 21, 2025",mañana,2025,12,21,150104,-12.1484799,-77.0203449,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,fcb1550b-c58e-4090-821a-68e1f3351d21,340525561050101,-77.02034489999994,-12.148479899999927
933116,340526081050101,34052608,150101,1411,ALFONSO UGARTE,AV. ALFONSO UGARTE Nº 1325,"December 21, 2025",150101,CPNP ALFONSO UGARTE,Otros,,"869, 01, AV. GARCILASO DE LA VEGA 865, LIMA 15001, PERÚ","December 21, 2025",mañana,2025,12,21,150101,-12.0503889,-77.0386398,15,LIMA METROPOLITANA,1501,LIMA,150101,LIMA,1,219864,1995,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1G,DIVPOL CENTRO 1,"February 4, 2026",SIDPOL-DGIS,1,07ae61e6-15eb-42ee-bc77-f5a192bf0763,340526081050101,-77.03863979999994,-12.050388899999973
933519,340535581050101,34053558,150134,1434,SAN LUIS,CALLE  JOSE  ORENGO  N° 903,"December 21, 2025",150115,CPNP APOLO,Otros,,AV. AVIACIÓN 429 REF. ESTACION GAMARRA,"December 21, 2025",tarde,2025,12,21,150115,-12.0656262,-77.0120546,15,LIMA METROPOLITANA,1501,LIMA,150115,LA VICTORIA,1,219908,2035,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"February 4, 2026",SIDPOL-DGIS,1,458a5823-c9db-4458-81e4-9e9c8fb97b9f,340535581050101,-77.01205459999994,-12.06562619999994
933782,340542801050101,34054280,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 22, 2025",150104,CPNP BARRANCO,Otros,,"DPTO 101, AV. EL SOL ESTE 112, BARRANCO 15063, PERÚ","December 21, 2025",mañana,2025,12,21,150104,-12.1395754,-77.0219278,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,ce7fc71d-083f-4621-ab58-31796f16de49,340542801050101,-77.02192779999996,-12.139575399999956
933905,340544851050119,34054485,150143,1471,NUEVA ESPERANZA,Jr. Marcelo Cdr. 4 Mz. F3 Lote 1 - AA.HH 10 de Octubre - SJL,"December 22, 2025",150143,CPNP NUEVA ESPERANZA,Otros,,"C. SARA SARA 105, LIMA 15817, PERÚ","December 21, 2025",mañana,2025,12,21,150143,-12.1685543,-76.9189299,15,LIMA METROPOLITANA,1501,LIMA,150143,VILLA MARIA DEL TRIUNFO,1,220183,2295,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,13,LIMA,13R2,LIMA,13R1O,DIVPOL SUR 3,"February 4, 2026",SIDPOL-DGIS,1,48034446-0e49-4758-91a9-848088b9b0c8,340544851050119,-76.91892989999997,-12.168554299999926
933906,340545651050122,34054565,150103,1440,SALAMANCA,CALLE AYMARAS 265 - ATE,"December 22, 2025",150103,CPNP SALAMANCA,Otros,,"AV. CIRCUNVALACIÓN, ATE, PERÚ","December 21, 2025",tarde,2025,12,21,150103,-12.0801855,-76.9870185,15,LIMA METROPOLITANA,1501,LIMA,150103,ATE,1,220020,2140,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1M,DIVPOL ESTE 2,"February 4, 2026",SIDPOL-DGIS,1,5ef3e675-b8be-4949-906d-aa9a42c414c9,340545651050122,-76.98701849999998,-12.08018549999997
933969,340547111050122,34054711,150103,1440,SALAMANCA,CALLE AYMARAS 265 - ATE,"December 22, 2025",150108,CPNP MATEO PUMACAHUA,Otros,,"CHORRILLOS, PERÚ","December 21, 2025",mañana,2025,12,21,150108,-12.1848841,-77.0074502,15,LIMA METROPOLITANA,1501,LIMA,150108,CHORRILLOS,1,220127,2240,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,08470f61-53ac-42ed-873d-1f8ffb0613ee,340547111050122,-77.00745019999994,-12.184884099999977
934330,340554311050103,34055431,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 22, 2025",150104,CPNP BARRANCO,Otros,,"AV. FRANCISCO BOLOGNESI 747, BARRANCO 15063, PERÚ","December 21, 2025",tarde,2025,12,21,150104,-12.1441131,-77.0187909,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,08f79a8b-1681-4285-8acc-83ed235dce9d,340554311050103,-77.01879089999994,-12.14411309999997
934351,340554781050101,34055478,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"December 22, 2025",150104,CPNP BARRANCO,Otros,,"AV. ALMTE. MIGUEL GRAU 329, LIMA 15063, PERÚ","December 22, 2025",madrugada,2025,12,22,150104,-12.1484517,-77.0213587,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"February 4, 2026",SIDPOL-DGIS,1,50f13d3d-9f0d-448f-a9d1-aa9b5b40f5fc,340554781050101,-77.02135869999995,-12.148451699999953
934405,340555621050103,34055562,150134,1434,SAN LUIS,CALLE  JOSE  ORENGO  N° 903,"December 22, 2025",150134,CPNP SAN LUIS,Otros,,"AV. CIRCUNVALACIÓN 2420, DPTO. 601 SAN LUIS 15021, PERÚ","December 22, 2025",madrugada,2025,12,22,150134,-12.0768972,-76.9901656,15,LIMA METROPOLITANA,1501,LIMA,150134,SAN LUIS,1,219929,2114,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"February 4, 2026",SIDPOL-DGIS,1,13f9168b-3f92-41bf-8322-bee45a7a1d54,340555621050103,-76.99016559999995,-12.076897199999962
