OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
640090,331952481050101,33195248,150112,1386,INDEPENDENCIA,AV. LAS VIOLETAS 1098 INDEPENDENCIA,"September 1, 2025",150112,CPNP INDEPENDENCIA,Otros,,"ROKY'S INDEPENDENCIA, AV. GERARDO UNGER 3507, SAN MARTÍN DE PORRES 15311, PERÚ","September 1, 2025",madrugada,2025,9,1,150112,-11.994370599999968,-77.05692789999995,15,LIMA METROPOLITANA,1501,LIMA,150112,INDEPENDENCIA,1,219719,1855,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1E,DIVPOL NORTE 2,"October 31, 2025",SIDPOL-DGIS,1,d49df61e-88d8-44ca-9095-32959a81c952,331952481050101,-77.05692789999995,-11.994370599999968
640181,331954391050101,33195439,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"September 1, 2025",150104,CPNP BARRANCO,Otros,,"AV. PEDRO DE OSMA 108, BARRANCO 15063, PERÚ","September 1, 2025",madrugada,2025,9,1,150104,-12.149725399999966,-77.02183699999995,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,e2d55cee-b4bc-439d-b25c-4a6349b60053,331954391050101,-77.02183699999995,-12.149725399999966
640924,331979281050107,33197928,150110,1390,COLLIQUE,AV REVOLUCION 2591 4TA ZONA COLLIQUE,"September 1, 2025",150110,CPNP COLLIQUE,Otros,,"COLLIQUE 4 ZONA, COMAS 15324, PERÚ","September 1, 2025",mañana,2025,9,1,150110,-11.912815099999932,-77.01470399999994,15,LIMA METROPOLITANA,1501,LIMA,150110,COMAS,1,219731,1875,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1E,DIVPOL NORTE 2,"October 31, 2025",SIDPOL-DGIS,1,b4f27b8f-f691-40dd-8667-27ada28c688b,331979281050107,-77.01470399999994,-11.912815099999932
641001,331981701050101,33198170,150142,1466,VILLA EL SALVADOR,AV. CESAR VALLEJO CON AV. REVOLUCION S/N,"September 1, 2025",150142,CPNP VILLA EL SALVADOR,Otros,,"ARRIBA PERU, VILLA EL SALVADOR 15831, PERÚ","September 1, 2025",madrugada,2025,9,1,150142,-12.20575649999995,-76.94169959999994,15,LIMA METROPOLITANA,1501,LIMA,150142,VILLA EL SALVADOR,1,220145,2270,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,872a233e-7aa9-4168-8262-d25253937b0b,331981701050101,-76.94169959999994,-12.20575649999995
641061,331984001050101,33198400,150142,1466,VILLA EL SALVADOR,AV. CESAR VALLEJO CON AV. REVOLUCION S/N,"September 1, 2025",150133,CPNP LADERAS DE VILLA,Otros,,"VILLA DE SALVADOR SECTOR I GRUPO 7, LIMA 15828, PERÚ","September 1, 2025",mañana,2025,9,1,150142,-12.191130499999929,-76.94882249999995,15,LIMA METROPOLITANA,1501,LIMA,150142,VILLA EL SALVADOR,1,220130,2245,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,1194d045-cc47-4a32-82b5-cb823e787307,331984001050101,-76.94882249999995,-12.191130499999929
641163,331988551050101,33198855,150104,1457,BARRANCO,PROLONGACION SAN MARTIN 250,"September 1, 2025",150104,CPNP BARRANCO,Otros,,"ESTACIÓN PLAZA DE FLORES, VIA EXPRESA PASEO DE LA REPÚBLICA, BARRANCO 15063, PERÚ","September 1, 2025",tarde,2025,9,1,150104,-12.13568399999997,-77.01868539999998,15,LIMA METROPOLITANA,1501,LIMA,150104,BARRANCO,1,220151,2225,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,ee754831-197b-4b49-8046-d3a25eae4602,331988551050101,-77.01868539999998,-12.13568399999997
641202,331989801050101,33198980,150115,1419,APOLO,AV. 3 DE FEBREROS/N.,"September 1, 2025",150115,CPNP SAN COSME,Otros,,"AV SAN PABLO 199, LIMA 15019, PERÚ","September 1, 2025",madrugada,2025,9,1,150115,-12.06201859999993,-77.01009229999994,15,LIMA METROPOLITANA,1501,LIMA,150115,LA VICTORIA,1,219911,2040,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"October 31, 2025",SIDPOL-DGIS,1,42fb6758-23c3-4cc6-8334-4627ee9a515f,331989801050101,-77.01009229999994,-12.06201859999993
641250,331991151050101,33199115,150142,1466,VILLA EL SALVADOR,AV. CESAR VALLEJO CON AV. REVOLUCION S/N,"September 1, 2025",150142,CPNP VILLA EL SALVADOR,Otros,,"VILLA EL SALVADOR SECTOR II GRUPO 9, LIMA, PERÚ","September 1, 2025",madrugada,2025,9,1,150142,-12.20914799999997,-76.93765869999999,15,LIMA METROPOLITANA,1501,LIMA,150142,VILLA EL SALVADOR,1,220145,2270,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,16fe95cb-0a90-47c8-82d6-9bd5c61c504f,331991151050101,-76.93765869999999,-12.20914799999997
641273,331992671050101,33199267,150142,1466,VILLA EL SALVADOR,AV. CESAR VALLEJO CON AV. REVOLUCION S/N,"September 1, 2025",150113,CPNP JESUS MARIA,Otros,,"JESÚS MARÍA, PERÚ","September 1, 2025",madrugada,2025,9,1,150142,-12.082494699999927,-77.05060919999994,15,LIMA METROPOLITANA,1501,LIMA,150113,JESUS MARIA,1,219825,1955,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1H,DIVPOL OESTE,"October 31, 2025",SIDPOL-DGIS,1,b0ad0fa9-cc7f-46c7-88df-0fd6c44d4970,331992671050101,-77.05060919999994,-12.082494699999927
641668,332006291050101,33200629,150122,1456,SAN ANTONIO,AV. TOMAS MARSANO N° 1180,"September 1, 2025",150141,CPNP SURQUILLO,Otros,,"CRUCE AV. ANGAMOS CON, TOMAS MARSANO 1805, SURQUILLO 15037, PERÚ","September 1, 2025",tarde,2025,9,1,150141,-12.111694099999966,-77.01253939999998,15,LIMA METROPOLITANA,1501,LIMA,150141,SURQUILLO,1,220072,2190,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,9709a8c3-5f21-4d57-8b06-3410f4a3f75c,332006291050101,-77.01253939999998,-12.111694099999966
