OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
461,313233661050101,31323366,070101,1489,CIUDAD DEL PESCADOR,CALLAO,"January 1, 2025",070102,CPNP CIUDAD DEL PESCADOR,Otros,,"AV. VENEZUELA, CALLAO, PERÚ","January 1, 2025",madrugada,2025,1,1,070101,-12.06246159999995,-77.09753679999994,07,CALLAO,0701,CALLAO,070102,BELLAVISTA,1,220515,6017,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,06,CALLAO,06R1,CALLAO,06R1C,DIVOPUS 01,"October 31, 2025",SIDPOL-DGIS,1,0e70a8b7-21cb-42a3-bf30-6d67e5c62fc9,313233661050101,-77.09753679999994,-12.06246159999995
2759,313338431050101,31333843,070101,1495,CARMEN DE LA LEGUA,callao,"January 2, 2025",070103,CPNP CARMEN DE LA LEGUA REYNOSO,Otros,,"AV. 1 DE MAYO 1566, LIMA 07006, PERÚ","January 2, 2025",noche,2025,1,2,070103,-12.038340499999947,-77.08305489999998,07,CALLAO,0701,CALLAO,070103,CARMEN DE LA LEGUA REYNOSO,1,220541,6028,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,dd275c76-697c-4890-a43b-7498771da6b6,313338431050101,-77.08305489999998,-12.038340499999947
3552,313378251050103,31337825,070101,3915,OQUENDO,CALLAO,"January 3, 2025",070101,CPNP OQUENDO,Otros,,"ENCANTADA DEL VALLE, CALLAO 07031, PERÚ","January 2, 2025",tarde,2025,1,2,070101,-11.981958899999938,-77.11828629999997,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220552,6036,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,06,CALLAO,06R1,CALLAO,06R1A,DIVOPUS 03,"October 31, 2025",SIDPOL-DGIS,1,d0cd3835-b57e-4b17-a68f-b4021f551569,313378251050103,-77.11828629999997,-11.981958899999938
5723,313481531050119,31348153,070101,1481,CALLAO,callao,"January 4, 2025",070101,CPNP CALLAO,Otros,,"CALLAO, PERÚ","January 4, 2025",tarde,2025,1,4,070101,-12.05117169999994,-77.12568829999998,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220500,6000,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,06,CALLAO,06R1,CALLAO,06R1C,DIVOPUS 01,"October 31, 2025",SIDPOL-DGIS,1,69422dad-518b-4fa4-8b8e-1122f70650b3,313481531050119,-77.12568829999998,-12.05117169999994
6627,313508501050107,31350850,070101,1481,CALLAO,callao,"January 4, 2025",070101,CPNP CALLAO,Otros,,"CALLAO, PERÚ","January 4, 2025",noche,2025,1,4,070101,-12.05117169999994,-77.12568829999998,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220500,6000,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1C,DIVOPUS 01,"October 31, 2025",SIDPOL-DGIS,1,d5105440-2862-4c64-b20d-15a0e7348a47,313508501050107,-77.12568829999998,-12.05117169999994
8504,313558761050103,31355876,070101,3915,OQUENDO,CALLAO,"January 5, 2025",070101,CPNP OQUENDO,Otros,,"2VFC+C9R AVENUE, AV. OQUENDO, CALLAO 07046, PERÚ","January 5, 2025",tarde,2025,1,5,070101,-11.97638859999995,-77.12911059999993,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220552,6036,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,06,CALLAO,06R1,CALLAO,06R1A,DIVOPUS 03,"October 31, 2025",SIDPOL-DGIS,1,97025937-9a0d-461f-b8e5-63740599288f,313558761050103,-77.12911059999993,-11.97638859999995
11533,313673061050104,31367306,070101,1484,LA LEGUA,CALLAO,"January 7, 2025",070101,CPNP LA LEGUA,Otros,,"AUXILIAR DE LA AV. ELMER FAUCETT, CALLAO 07001, PERÚ","January 6, 2025",noche,2025,1,6,070101,-12.050394299999937,-77.09846969999995,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220506,6006,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050104,HURTO AGRAVADO DURANTE LA NOCHE,06,CALLAO,06R1,CALLAO,06R1C,DIVOPUS 01,"October 31, 2025",SIDPOL-DGIS,1,99109405-695d-4732-a276-c2786ae10a19,313673061050104,-77.09846969999995,-12.050394299999937
12754,313735951050122,31373595,150110,1393,UNIVERSITARIA,Jr.Pedro Paulet/ Jr.Jose Carlos Mariategui-LA PASCANA,"January 7, 2025",150117,CPNP SOL DE ORO,Otros,,"AV. LOS DOMINICOS, CALLAO, PERÚ","January 6, 2025",tarde,2025,1,6,070101,-12.005311899999981,-77.09956179999995,07,CALLAO,0701,CALLAO,070101,CALLAO,1,219669,1810,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1D,DIVPOL NORTE 1,"October 31, 2025",SIDPOL-DGIS,1,28abf301-5f77-48e9-bfd5-a97f893d0668,313735951050122,-77.09956179999995,-12.005311899999981
15023,313826401050107,31382640,070101,3915,OQUENDO,CALLAO,"January 8, 2025",070101,CPNP SARITA COLONIA,Otros,,"AV. NESTOR GAMBETTA, CALLAO, PERÚ","January 8, 2025",tarde,2025,1,8,070101,-11.994014399999969,-77.12596819999999,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220529,6020,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,5ca737ac-f0d3-4160-ae00-7a1d0159408f,313826401050107,-77.12596819999999,-11.994014399999969
16759,313886851050101,31388685,070101,4540,COMTUR CALLAO,plaza grau,"January 9, 2025",070101,CPNP SARITA COLONIA,Otros,,"INTERNATIONAL AIRPORT JORGE CHÁVEZ (LIM), AV. ELMER FAUCETT S/N, CALLAO 07031, PERÚ","January 8, 2025",noche,2025,1,8,070101,-12.02304369999996,-77.10799759999998,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220529,6020,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,335c0d49-8104-4ad6-884b-26c3a0a08191,313886851050101,-77.10799759999998,-12.02304369999996
