OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
6072,313491831050201,31349183,070101,1488,DULANTO,callao,"January 4, 2025",070101,CPNP PLAYA RIMAC,Otros,,"AV. QUILCA, CALLAO, PERÚ","January 4, 2025",mañana,2025,1,4,070101,-12.03033679999993,-77.09471559999997,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220532,6010,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,de7ed670-b1a0-4674-a37c-d8bef2580454,313491831050201,-77.09471559999997,-12.03033679999993
12916,313742221050215,31374222,070101,1483,RAMON CASTILLA,CALLAO,"January 7, 2025",070101,CPNP RAMON CASTILLA,Otros,,"MARQUESADO, CALLAO 07026, PERÚ","January 7, 2025",noche,2025,1,7,070101,-12.04197789999995,-77.12260319999996,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220521,6004,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050215,ROBO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1C,DIVOPUS 01,"October 31, 2025",SIDPOL-DGIS,1,e7d627bc-5748-4f1b-b33d-9347bf62e8ce,313742221050215,-77.12260319999996,-12.04197789999995
15208,313832231050215,31383223,070101,3915,OQUENDO,CALLAO,"January 8, 2025",070101,CPNP JUAN INGUNZA VALDIVIA,Otros,,"AV. BOCANEGRA & AV. ALEJANDRO BERTELLO BOLLATI, CALLAO 07031, PERÚ","January 7, 2025",madrugada,2025,1,7,070101,-12.009894699999961,-77.10626419999994,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220538,6008,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050215,ROBO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,7083d581-30af-4216-b013-a554de2b434e,313832231050215,-77.10626419999994,-12.009894699999961
15959,313839911050215,31383991,070101,1495,CARMEN DE LA LEGUA,callao,"January 9, 2025",070103,CPNP CARMEN DE LA LEGUA REYNOSO,Otros,,"AV. JOSÉ LÓPEZ PAZOS 900, CARMEN DE LA LEGUA - REYNOSO 07006, PERÚ","January 8, 2025",madrugada,2025,1,8,070103,-12.03860839999993,-77.08797669999996,07,CALLAO,0701,CALLAO,070103,CARMEN DE LA LEGUA REYNOSO,1,220541,6028,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050215,ROBO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,54a71289-20d8-4da7-a751-c4264102842f,313839911050215,-77.08797669999996,-12.03860839999993
20503,314025601050216,31402560,070101,3915,OQUENDO,CALLAO,"January 11, 2025",070101,CPNP OQUENDO,Otros,,"AV. MANUEL MUJICA GALLO, CALLAO 07031, PERÚ","January 10, 2025",noche,2025,1,10,070101,-11.982363899999939,-77.12159949999995,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220552,6036,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050216,TENTATIVA DE ROBO,06,CALLAO,06R1,CALLAO,06R1A,DIVOPUS 03,"October 31, 2025",SIDPOL-DGIS,1,027861ac-5a65-4ba2-8779-e71dd220260d,314025601050216,-77.12159949999995,-11.982363899999939
24842,314141471050215,31414147,070101,1498,MI PERU,MZ G3 LT 03 DISTRITO DE MI PERU - CALLAO,"January 13, 2025",070107,CPNP MI PERU,Otros,,"4VQC+JR7, AV. CUZCO, MI PERÚ 07056, PERÚ","January 13, 2025",mañana,2025,1,13,070101,-11.86095199999994,-77.12793909999994,07,CALLAO,0701,CALLAO,070107,MI PERU,1,220555,6034,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050215,ROBO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1A,DIVOPUS 03,"October 31, 2025",SIDPOL-DGIS,1,98ab8954-0693-4ac6-b909-ece3f639a4a4,314141471050215,-77.12793909999994,-11.86095199999994
30019,314327921050205,31432792,070101,3915,OQUENDO,CALLAO,"January 15, 2025",070101,CPNP OQUENDO,Otros,,"2VFG+9XP PARQUE RAFAEL EMILIO GOMEZ, CALLAO 07031, PERÚ","January 14, 2025",noche,2025,1,14,070101,-11.976535499999954,-77.12256059999999,07,CALLAO,0701,CALLAO,070101,CALLAO,1,220552,6036,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050205,ROBO AGRAVADO EN BANDA,06,CALLAO,06R1,CALLAO,06R1A,DIVOPUS 03,"October 31, 2025",SIDPOL-DGIS,1,85ceb6ad-7b4f-4950-8210-2ada7a12f8ca,314327921050205,-77.12256059999999,-11.976535499999954
31071,314371731050201,31437173,070101,1489,CIUDAD DEL PESCADOR,CALLAO,"January 15, 2025",070102,CPNP BELLAVISTA,Otros,,"C. 6, BELLAVISTA 07011, PERÚ","January 14, 2025",noche,2025,1,14,070102,-12.059414499999946,-77.10974949999996,07,CALLAO,0701,CALLAO,070102,BELLAVISTA,1,220518,6024,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,06,CALLAO,06R1,CALLAO,06R1C,DIVOPUS 01,"October 31, 2025",SIDPOL-DGIS,1,b4cba191-ad02-4712-b9a4-37f6239f0415,314371731050201,-77.10974949999996,-12.059414499999946
32252,314411661050201,31441166,070101,1497,PACHACUTEC,ventanilla,"January 15, 2025",070106,CPNP VILLA LOS REYES,Otros,,"PACHACUTEC, VENTANILLA 07066, PERÚ","January 15, 2025",noche,2025,1,15,070106,-11.848771099999965,-77.13135519999997,07,CALLAO,0701,CALLAO,070106,VENTANILLA,1,220561,6009,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,06,CALLAO,06R1,CALLAO,06R1A,DIVOPUS 03,"October 31, 2025",SIDPOL-DGIS,1,66f86015-8e88-4ef6-8d7b-eed7ef0b2141,314411661050201,-77.13135519999997,-11.848771099999965
33701,314466351050215,31446635,070101,1495,CARMEN DE LA LEGUA,callao,"January 16, 2025",070103,CPNP CARMEN DE LA LEGUA REYNOSO,Otros,,"AV. 1 DE MAYO & AV. ELMER FAUCETT, CARMEN DE LA LEGUA - REYNOSO 07006, PERÚ","January 2, 2025",madrugada,2025,1,2,070103,-12.04126759999997,-77.09893849999997,07,CALLAO,0701,CALLAO,070103,CARMEN DE LA LEGUA REYNOSO,1,220541,6028,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050215,ROBO AGRAVADO,06,CALLAO,06R1,CALLAO,06R1B,DIVOPUS 02,"October 31, 2025",SIDPOL-DGIS,1,9c81dfdf-03b5-4eb8-b703-bfac9e56c6c3,314466351050215,-77.09893849999997,-12.04126759999997
